Provider Id,Provider Name,Provider City,Provider State,Provider Zip Code,DRG Definition,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
330005,Kaleida Health,Buffalo,NY,14210,66 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,30,21498.3,7389.6666667,4543.4333333
330005,Kaleida Health,Buffalo,NY,14210,68 - NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,16,29774.6875,8393.8125,6592.8125
330005,Kaleida Health,Buffalo,NY,14210,69 - TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,30,23206.233333,7575.5666667,5674.3333333
330005,Kaleida Health,Buffalo,NY,14210,70 - NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,23,33912.565217,17069.391304,13628.26087
330005,Kaleida Health,Buffalo,NY,14210,71 - NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,21,24351.952381,10529.095238,7394.7142857
330005,Kaleida Health,Buffalo,NY,14210,91 - OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,14,46092.928571,17065.142857,15057.857143
330005,Kaleida Health,Buffalo,NY,14210,92 - OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,14,29121.642857,9936.3571429,6001.3571429
330005,Kaleida Health,Buffalo,NY,14210,100 - SEIZURES WITH MCC,38,48507.368421,18787.710526,15813.894737
330005,Kaleida Health,Buffalo,NY,14210,101 - SEIZURES WITHOUT MCC,46,27310.26087,8876.5,6954.3478261
330005,Kaleida Health,Buffalo,NY,14210,175 - PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,24,34562.583333,14625.416667,11713.083333
330005,Kaleida Health,Buffalo,NY,14210,176 - PULMONARY EMBOLISM WITHOUT MCC,12,16672.083333,8071.8333333,6473.1666667
330005,Kaleida Health,Buffalo,NY,14210,177 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,261,32026.869732,19593.770115,16503.716475
330005,Kaleida Health,Buffalo,NY,14210,178 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,72,21784.333333,12552.097222,10217.722222
330005,Kaleida Health,Buffalo,NY,14210,179 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,18,20181.388889,9599.8888889,7669.3888889
330005,Kaleida Health,Buffalo,NY,14210,180 - RESPIRATORY NEOPLASMS WITH MCC,23,42848.391304,16251.434783,14320.043478
330005,Kaleida Health,Buffalo,NY,14210,189 - PULMONARY EDEMA AND RESPIRATORY FAILURE,147,35255.680272,12179.428571,9355.3061224
330005,Kaleida Health,Buffalo,NY,14210,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,51,21902.078431,10555.098039,8435.6078431
330005,Kaleida Health,Buffalo,NY,14210,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,22,15117.090909,8421.9545455,6475.3181818
330005,Kaleida Health,Buffalo,NY,14210,193 - SIMPLE PNEUMONIA AND PLEURISY WITH MCC,80,21295.7125,12068.6375,9600.6
330005,Kaleida Health,Buffalo,NY,14210,194 - SIMPLE PNEUMONIA AND PLEURISY WITH CC,44,16785.045455,8335.8181818,6148.5681818
330005,Kaleida Health,Buffalo,NY,14210,202 - BRONCHITIS AND ASTHMA WITH CC/MCC,12,21283.583333,9637.5833333,6146.1666667
330005,Kaleida Health,Buffalo,NY,14210,207 - RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,28,186799.53571,67665.857143,56936.214286
330005,Kaleida Health,Buffalo,NY,14210,208 - RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,39,66303.205128,25870.435897,20351.128205
330005,Kaleida Health,Buffalo,NY,14210,219 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,17,219222.05882,68245.941176,57597.529412
330005,Kaleida Health,Buffalo,NY,14210,220 - CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,13,175680.84615,48395.615385,41763.923077
330005,Kaleida Health,Buffalo,NY,14210,233 - CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,23,186957.82609,71603.73913,58248.043478
330005,Kaleida Health,Buffalo,NY,14210,234 - CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,26,159854.46154,44685.153846,39957.153846
330005,Kaleida Health,Buffalo,NY,14210,235 - CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,14,183490.35714,52605.785714,50590.142857
330005,Kaleida Health,Buffalo,NY,14210,236 - CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,27,131523.40741,36279.592593,31865.925926
330005,Kaleida Health,Buffalo,NY,14210,242 - PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,31,66243.032258,35369.516129,28430.322581
330005,Kaleida Health,Buffalo,NY,14210,243 - PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,22,47694.409091,22471.954545,18456.136364
330005,Kaleida Health,Buffalo,NY,14210,244 - PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,14,40969.428571,17740.142857,16124.0
330005,Kaleida Health,Buffalo,NY,14210,246 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,46,54634.804348,29804.913043,24120.978261
330005,Kaleida Health,Buffalo,NY,14210,247 - PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,76,29343.842105,18869.986842,13425.934211
330005,Kaleida Health,Buffalo,NY,14210,252 - OTHER VASCULAR PROCEDURES WITH MCC,31,88100.096774,33763.225806,31013.16129
330005,Kaleida Health,Buffalo,NY,14210,253 - OTHER VASCULAR PROCEDURES WITH CC,15,68966.866667,27724.6,20663.733333
330005,Kaleida Health,Buffalo,NY,14210,254 - OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,12,51106.75,16128.75,14372.75
330005,Kaleida Health,Buffalo,NY,14210,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,12,80589.25,32890.416667,29438.333333
330005,Kaleida Health,Buffalo,NY,14210,266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,66,164811.39394,64722.712121,57332.909091
330005,Kaleida Health,Buffalo,NY,14210,267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,194,121006.29897,47083.484536,45487.195876
330005,Kaleida Health,Buffalo,NY,14210,269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,19,115074.47368,41110.578947,33608.052632
330005,Kaleida Health,Buffalo,NY,14210,270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,16,119718.6875,44237.9375,39318.625
330005,Kaleida Health,Buffalo,NY,14210,271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,19,94808.526316,31523.473684,28310.315789
330005,Kaleida Health,Buffalo,NY,14210,273 - PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,17,91931.352941,36219.705882,34906.0
330005,Kaleida Health,Buffalo,NY,14210,274 - PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,180,67758.422222,28274.583333,27207.027778
330005,Kaleida Health,Buffalo,NY,14210,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",75,42918.88,16054.093333,13768.56
330005,Kaleida Health,Buffalo,NY,14210,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",33,20481.727273,8409.6363636,6977.1515152
330005,Kaleida Health,Buffalo,NY,14210,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",11,15234.818182,6821.2727273,5289.7272727
330005,Kaleida Health,Buffalo,NY,14210,"286 - CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",34,44518.470588,21825.470588,19072.264706
330005,Kaleida Health,Buffalo,NY,14210,"287 - CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",31,19406.83871,10192.193548,8102.3225806
330005,Kaleida Health,Buffalo,NY,14210,291 - HEART FAILURE AND SHOCK WITH MCC,310,26583.280645,12074.254839,9743.1064516
330005,Kaleida Health,Buffalo,NY,14210,292 - HEART FAILURE AND SHOCK WITH CC,17,21783.647059,8079.5294118,6902.2941176
330005,Kaleida Health,Buffalo,NY,14210,300 - PERIPHERAL VASCULAR DISORDERS WITH CC,24,20564.375,9795.4166667,7589.1666667
330005,Kaleida Health,Buffalo,NY,14210,303 - ATHEROSCLEROSIS WITHOUT MCC,12,15043.166667,6212.9166667,4908.8333333
330005,Kaleida Health,Buffalo,NY,14210,304 - HYPERTENSION WITH MCC,16,25023.9375,10387.8125,7947.5
330005,Kaleida Health,Buffalo,NY,14210,305 - HYPERTENSION WITHOUT MCC,20,19891.75,7087.85,5259.8
330005,Kaleida Health,Buffalo,NY,14210,308 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,73,27834.424658,12281.369863,9193.7260274
330005,Kaleida Health,Buffalo,NY,14210,309 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,79,16650.759494,7349.8734177,5485.5316456
330005,Kaleida Health,Buffalo,NY,14210,310 - CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,39,10721.871795,6069.5897436,3100.6410256
330005,Kaleida Health,Buffalo,NY,14210,312 - SYNCOPE AND COLLAPSE,26,17461.538462,7839.3076923,6202.3076923
330005,Kaleida Health,Buffalo,NY,14210,313 - CHEST PAIN,13,18508.692308,6631.9230769,5480.4615385
330005,Kaleida Health,Buffalo,NY,14210,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,47,57770.340426,20632.021277,18482.957447
330005,Kaleida Health,Buffalo,NY,14210,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,24,23209.041667,8820.7916667,7071.2083333
330005,Kaleida Health,Buffalo,NY,14210,329 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,36,141157.41667,45451.416667,40826.027778
330005,Kaleida Health,Buffalo,NY,14210,330 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,41,83262.609756,23587.902439,19933.95122
330005,Kaleida Health,Buffalo,NY,14210,331 - MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,16,63442.3125,15366.25,13579.5
330005,Kaleida Health,Buffalo,NY,14210,336 - PERITONEAL ADHESIOLYSIS WITH CC,12,76605.916667,22008.75,19529.333333
330005,Kaleida Health,Buffalo,NY,14210,372 - MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,19,21075.052632,9639.9473684,8759.4736842
330005,Kaleida Health,Buffalo,NY,14210,374 - DIGESTIVE MALIGNANCY WITH MCC,18,58075.333333,21443.222222,19236.555556
330005,Kaleida Health,Buffalo,NY,14210,375 - DIGESTIVE MALIGNANCY WITH CC,11,36337.272727,11355.181818,9189.7272727
330005,Kaleida Health,Buffalo,NY,14210,377 - GASTROINTESTINAL HEMORRHAGE WITH MCC,69,45515.84058,17198.057971,14478.971014
330005,Kaleida Health,Buffalo,NY,14210,378 - GASTROINTESTINAL HEMORRHAGE WITH CC,99,25087.535354,9296.0808081,7323.6161616
330005,Kaleida Health,Buffalo,NY,14210,386 - INFLAMMATORY BOWEL DISEASE WITH CC,12,20497.5,9196.25,7434.6666667
330005,Kaleida Health,Buffalo,NY,14210,389 - GASTROINTESTINAL OBSTRUCTION WITH CC,34,18983.323529,8812.7058824,5590.4411765
330005,Kaleida Health,Buffalo,NY,14210,390 - GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,17,13648.176471,5642.3529412,4293.6470588
330005,Kaleida Health,Buffalo,NY,14210,"391 - ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",22,30868.181818,12316.272727,8949.4545455
330005,Kaleida Health,Buffalo,NY,14210,"392 - ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",65,19390.8,7742.4769231,5547.4307692
330005,Kaleida Health,Buffalo,NY,14210,393 - OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,23,40620.347826,15829.521739,12612.304348
330005,Kaleida Health,Buffalo,NY,14210,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,26,23360.807692,9342.5,6556.7307692
330005,Kaleida Health,Buffalo,NY,14210,418 - LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,19,52192.210526,15190.473684,13149.526316
330005,Kaleida Health,Buffalo,NY,14210,432 - CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,24,76686.666667,23786.708333,18101.166667
330005,Kaleida Health,Buffalo,NY,14210,435 - MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,15,52872.133333,16633.466667,13640.066667
330005,Kaleida Health,Buffalo,NY,14210,438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,17,74529.529412,24675.176471,19301.176471
330005,Kaleida Health,Buffalo,NY,14210,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,19,21562.684211,9186.4736842,5532.4736842
330005,Kaleida Health,Buffalo,NY,14210,"441 - DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",16,45473.1875,17173.3125,15406.0
330005,Kaleida Health,Buffalo,NY,14210,"442 - DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",12,36747.0,9899.8333333,7359.0833333
330005,Kaleida Health,Buffalo,NY,14210,444 - DISORDERS OF THE BILIARY TRACT WITH MCC,16,43317.5625,15838.4375,13904.4375
330005,Kaleida Health,Buffalo,NY,14210,445 - DISORDERS OF THE BILIARY TRACT WITH CC,28,26251.607143,10949.285714,7538.8571429
330005,Kaleida Health,Buffalo,NY,14210,454 - COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,20,172809.0,60316.0,54451.45
330005,Kaleida Health,Buffalo,NY,14210,455 - COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,31,116780.6129,40702.870968,38163.612903
330005,Kaleida Health,Buffalo,NY,14210,460 - SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,32,101263.90625,38573.25,28162.96875
330005,Kaleida Health,Buffalo,NY,14210,467 - REVISION OF HIP OR KNEE REPLACEMENT WITH CC,17,79464.235294,29132.882353,27358.294118
330005,Kaleida Health,Buffalo,NY,14210,468 - REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,11,57557.181818,27603.545455,18311.818182
330005,Kaleida Health,Buffalo,NY,14210,470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,19,56406.894737,18928.789474,17153.210526
330005,Kaleida Health,Buffalo,NY,14210,472 - CERVICAL SPINAL FUSION WITH CC,33,76963.030303,26942.787879,23039.393939
330005,Kaleida Health,Buffalo,NY,14210,480 - HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,24,83712.333333,33068.166667,24890.875
330005,Kaleida Health,Buffalo,NY,14210,481 - HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,44,48814.431818,18710.545455,16110.272727
330005,Kaleida Health,Buffalo,NY,14210,519 - BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,11,48125.545455,20384.818182,13992.363636
330005,Kaleida Health,Buffalo,NY,14210,522 - HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,40,50518.375,19205.65,16742.25
330005,Kaleida Health,Buffalo,NY,14210,536 - FRACTURES OF HIP AND PELVIS WITHOUT MCC,12,17008.75,7361.75,5006.0
330005,Kaleida Health,Buffalo,NY,14210,552 - MEDICAL BACK PROBLEMS WITHOUT MCC,25,18117.56,8737.96,6986.6
330005,Kaleida Health,Buffalo,NY,14210,"563 - FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC",18,15638.5,8299.2222222,5650.1666667
330005,Kaleida Health,Buffalo,NY,14210,565 - OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC,15,21479.6,9348.2666667,7266.0666667
330005,Kaleida Health,Buffalo,NY,14210,602 - CELLULITIS WITH MCC,14,25989.785714,14317.428571,12579.428571
330005,Kaleida Health,Buffalo,NY,14210,603 - CELLULITIS WITHOUT MCC,52,14419.442308,8763.8653846,5731.9615385
330005,Kaleida Health,Buffalo,NY,14210,637 - DIABETES WITH MCC,29,43051.655172,14966.275862,13130.103448
330005,Kaleida Health,Buffalo,NY,14210,638 - DIABETES WITH CC,36,20856.083333,8657.8055556,6192.0833333
330005,Kaleida Health,Buffalo,NY,14210,"640 - MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",92,38383.543478,14226.163043,12210.880435
330005,Kaleida Health,Buffalo,NY,14210,"641 - MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",80,18815.05,7310.3125,5482.1625
330005,Kaleida Health,Buffalo,NY,14210,644 - ENDOCRINE DISORDERS WITH CC,12,32792.416667,9669.4166667,8261.25
330005,Kaleida Health,Buffalo,NY,14210,661 - KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,11,23885.818182,10538.727273,7426.3636364
330005,Kaleida Health,Buffalo,NY,14210,673 - OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,17,80550.411765,32273.294118,29155.529412
330005,Kaleida Health,Buffalo,NY,14210,682 - RENAL FAILURE WITH MCC,80,32154.8875,15265.5,11696.0625
330005,Kaleida Health,Buffalo,NY,14210,683 - RENAL FAILURE WITH CC,95,19373.073684,8641.6736842,6289.6526316
330005,Kaleida Health,Buffalo,NY,14210,689 - KIDNEY AND URINARY TRACT INFECTIONS WITH MCC,42,24072.095238,11636.642857,8628.3571429
330005,Kaleida Health,Buffalo,NY,14210,690 - KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,48,17349.5625,7499.7291667,5734.4791667
330005,Kaleida Health,Buffalo,NY,14210,698 - OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC,84,42730.928571,16476.309524,13947.690476
330005,Kaleida Health,Buffalo,NY,14210,699 - OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC,23,22778.086957,9234.6521739,7503.0
330005,Kaleida Health,Buffalo,NY,14210,811 - RED BLOOD CELL DISORDERS WITH MCC,32,32116.65625,13391.5625,11921.125
330005,Kaleida Health,Buffalo,NY,14210,812 - RED BLOOD CELL DISORDERS WITHOUT MCC,46,24729.695652,8196.0217391,6352.7826087
330005,Kaleida Health,Buffalo,NY,14210,813 - COAGULATION DISORDERS,18,36636.555556,15523.5,13802.888889
330005,Kaleida Health,Buffalo,NY,14210,853 - INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,84,135022.0119,49997.797619,43055.238095
330005,Kaleida Health,Buffalo,NY,14210,854 - INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH CC,22,43458.863636,20468.636364,15696.272727
330005,Kaleida Health,Buffalo,NY,14210,862 - POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC,20,47217.25,17957.15,15813.9
330005,Kaleida Health,Buffalo,NY,14210,870 - SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,48,172870.6875,63806.229167,53803.958333
330005,Kaleida Health,Buffalo,NY,14210,871 - SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,515,47759.933981,19121.300971,16156.609709
330005,Kaleida Health,Buffalo,NY,14210,872 - SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,82,22669.743902,9655.2195122,7319.7926829
330005,Kaleida Health,Buffalo,NY,14210,884 - ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY,31,34228.354839,13720.16129,9925.0322581
330005,Kaleida Health,Buffalo,NY,14210,"896 - ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",11,45206.272727,17918.818182,15619.636364
330005,Kaleida Health,Buffalo,NY,14210,907 - OTHER O.R. PROCEDURES FOR INJURIES WITH MCC,16,116310.75,38193.8125,36339.0
330005,Kaleida Health,Buffalo,NY,14210,917 - POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC,25,31441.52,14499.92,10036.92
330005,Kaleida Health,Buffalo,NY,14210,919 - COMPLICATIONS OF TREATMENT WITH MCC,22,40341.0,17473.181818,14152.454545
330005,Kaleida Health,Buffalo,NY,14210,948 - SIGNS AND SYMPTOMS WITHOUT MCC,14,19711.214286,7678.3571429,5322.5
330005,Kaleida Health,Buffalo,NY,14210,951 - OTHER FACTORS INFLUENCING HEALTH STATUS,40,12851.1,5653.525,4047.2
330005,Kaleida Health,Buffalo,NY,14210,981 - EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,30,123071.73333,48046.666667,40908.066667
330005,Kaleida Health,Buffalo,NY,14210,982 - EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,16,56382.75,21913.0625,20180.9375
330006,St Joseph's Medical Center,Yonkers,NY,10701,177 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,21,63211.952381,25392.047619,23823.761905
330006,St Joseph's Medical Center,Yonkers,NY,10701,193 - SIMPLE PNEUMONIA AND PLEURISY WITH MCC,18,58472.277778,16778.166667,15403.722222
330006,St Joseph's Medical Center,Yonkers,NY,10701,291 - HEART FAILURE AND SHOCK WITH MCC,25,56411.16,15938.16,14468.84
330006,St Joseph's Medical Center,Yonkers,NY,10701,"641 - MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",12,32464.083333,10099.5,8731.75
330006,St Joseph's Medical Center,Yonkers,NY,10701,682 - RENAL FAILURE WITH MCC,12,56101.25,18512.583333,17515.333333
330006,St Joseph's Medical Center,Yonkers,NY,10701,871 - SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,54,81590.148148,23604.833333,22275.888889
330006,St Joseph's Medical Center,Yonkers,NY,10701,"895 - ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",37,15703.810811,18709.486486,16960.027027
330008,Wyoming County Community Hospital,Warsaw,NY,14569,177 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,46,20144.826087,19284.869565,18203.978261
330008,Wyoming County Community Hospital,Warsaw,NY,14569,178 - RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,17,19382.882353,11962.235294,10955.411765
330008,Wyoming County Community Hospital,Warsaw,NY,14569,193 - SIMPLE PNEUMONIA AND PLEURISY WITH MCC,27,19783.962963,11736.296296,10528.740741
330008,Wyoming County Community Hospital,Warsaw,NY,14569,194 - SIMPLE PNEUMONIA AND PLEURISY WITH CC,24,11219.166667,7435.5416667,6054.5833333
330008,Wyoming County Community Hospital,Warsaw,NY,14569,291 - HEART FAILURE AND SHOCK WITH MCC,29,16027.862069,10994.241379,10028.448276
330008,Wyoming County Community Hospital,Warsaw,NY,14569,638 - DIABETES WITH CC,12,10249.5,7647.1666667,6480.1666667
